original,new,category,orig_dim,new_dim,orig_kb,new_kb,saving_pct
11.PNG,11.webp,screenshot,1920x1080,1600x900,1177.0,58.3,95.0
22.JPG,22.webp,screenshot,1920x1080,1600x900,275.3,77.3,71.9
33.PNG,33.webp,screenshot,1920x1080,1600x900,1009.4,68.7,93.2
all_parfum_desaigner.PNG,all_parfum_desaigner.webp,product,1536x1024,1400x933,6147.0,149.0,97.6
all_parfum_lokal.PNG,all_parfum_lokal.webp,product,1536x1024,1400x933,6147.0,117.5,98.1
all_parfum_niche.PNG,all_parfum_niche.webp,product,1536x1024,1400x933,6147.0,116.1,98.1
all_parfum_timteng.PNG,all_parfum_timteng.webp,product,1727x910,1400x738,6141.9,94.8,98.5
botol_kosong_niche.JPEG,botol_kosong_niche.webp,product,1536x1024,1400x933,510.8,132.9,74.0
ceo1.JPG,ceo1.webp,portrait,1024x1024,800x800,92.4,46.3,49.9
ceo2 2.jpg,ceo2 2.webp,portrait,736x736,736x736,81.9,23.3,71.5
ceo2.JPG,ceo2.webp,portrait,626x626,626x626,58.0,18.9,67.4
ceo3.JPG,ceo3.webp,portrait,345x345,345x345,24.8,6.4,74.3
ceo4.JPG,ceo4.webp,portrait,736x736,736x736,108.7,50.4,53.6
ceo5.JPG,ceo5.webp,portrait,626x626,626x626,47.2,14.6,69.0
ceo6.JPG,ceo6.webp,portrait,626x626,626x626,63.5,24.6,61.2
ceo7.JPG,ceo7.webp,portrait,626x626,626x626,41.2,13.5,67.2
ceo8.JPG,ceo8.webp,portrait,626x626,626x626,50.4,17.0,66.3
din1.PNG,din1.webp,product,1080x1080,1080x1080,716.0,64.5,91.0
din2.PNG,din2.webp,product,1080x1080,1080x1080,588.5,57.3,90.3
din3.PNG,din3.webp,product,1080x1080,1080x1080,625.9,61.4,90.2
ewer.PNG,ewer.webp,product,1672x941,1400x788,2038.5,105.2,94.8
favicon.png,favicon.webp,favicon,1024x1024,256x256,101.6,2.2,97.8
foto-hero.jpg,foto-hero.webp,hero,1414x2000,1273x1800,246.5,111.5,54.8
founder1.JPG,founder1.webp,portrait,1024x1024,800x800,92.4,46.3,49.9
founder2.jpg,founder2.webp,portrait,736x736,736x736,81.9,23.3,71.5
klien1.JPG,klien1.webp,portrait,500x500,500x500,36.9,10.7,70.9
klien2.JPG,klien2.webp,portrait,500x500,500x500,45.8,14.4,68.5
klien3.JPG,klien3.webp,portrait,736x736,736x736,60.2,20.3,66.2
klien4.JPG,klien4.webp,portrait,500x500,500x500,47.2,14.6,69.1
klien5.JPG,klien5.webp,portrait,736x736,736x736,58.3,18.7,68.0
klien6.JPG,klien6.webp,portrait,736x736,736x736,84.4,28.9,65.8
logo 2.jpg,logo 2.webp,logo,1024x1024,700x700,35.8,6.8,80.9
logo 3.jpg,logo 3.webp,logo,1024x1024,700x700,35.8,6.8,80.9
logo 4.JPG,logo 4.webp,logo,1024x1024,700x700,58.6,6.9,88.3
logo.JPG,logo.webp,logo,1024x1024,700x700,58.6,6.9,88.3
logo1.JPG,logo1.webp,logo,1024x1024,700x700,58.6,6.9,88.3
produk1 2.PNG,produk1 2.webp,product,1672x941,1400x788,2084.7,131.9,93.7
produk1.PNG,produk1.webp,product,1672x941,1400x788,6148.9,132.9,97.8
produk10 2.PNG,produk10 2.webp,product,1672x941,1400x788,6148.9,123.4,98.0
produk10 3.PNG,produk10 3.webp,product,1672x941,1400x788,6148.9,123.4,98.0
produk10.PNG,produk10.webp,product,1672x941,1400x788,6148.9,123.4,98.0
produk11 2.PNG,produk11 2.webp,product,1672x941,1400x788,6148.9,104.1,98.3
produk11.PNG,produk11.webp,product,1672x941,1400x788,6148.9,104.1,98.3
produk12.PNG,produk12.webp,product,1672x941,1400x788,6148.9,115.2,98.1
produk13.PNG,produk13.webp,product,1672x941,1400x788,6148.9,114.0,98.1
produk14.PNG,produk14.webp,product,1672x941,1400x788,6148.9,114.0,98.1
produk15.PNG,produk15.webp,product,1672x941,1400x788,6148.9,108.0,98.2
produk16.PNG,produk16.webp,product,1672x941,1400x788,6148.9,110.2,98.2
produk18.PNG,produk18.webp,product,1672x941,1400x788,6148.9,148.7,97.6
produk19.PNG,produk19.webp,product,1672x941,1400x788,6148.9,123.4,98.0
produk2.PNG,produk2.webp,product,1672x941,1400x788,6148.9,121.4,98.0
produk20.PNG,produk20.webp,product,1672x941,1400x788,6148.9,138.6,97.7
produk21.PNG,produk21.webp,product,1672x941,1400x788,6148.9,145.5,97.6
produk22.PNG,produk22.webp,product,1672x941,1400x788,6148.9,134.7,97.8
produk23.PNG,produk23.webp,product,1672x941,1400x788,6148.9,119.5,98.1
produk24.PNG,produk24.webp,product,1672x941,1400x788,6148.9,112.4,98.2
produk25.PNG,produk25.webp,product,1672x941,1400x788,6148.9,139.2,97.7
produk26.PNG,produk26.webp,product,1672x941,1400x788,6148.9,132.8,97.8
produk27.PNG,produk27.webp,product,1672x941,1400x788,6148.9,152.5,97.5
produk28.PNG,produk28.webp,product,1672x941,1400x788,6148.9,154.0,97.5
produk29.PNG,produk29.webp,product,1672x941,1400x788,6148.9,122.6,98.0
